Heap Info: length: 2228184 flags: 5
HHeap Stats: nUsedNodes:10006 nFreeNodes:-1531 nCalls:(M:11355173 R:1485618 F:11345167) nBytes:-2407776
Timing:(M:14273776 R:1312643 F:369350)
ptr  len  isfree
0x0xc1a268 32 0
0x0xc1a288 32 0
0x0xc1a2a8 32 0
0x0xc1a2c8 520 0
0x0xc1a4d0 496 0
0x0xc1a6c0 112 0
0x0xc1a730 536 0
0x0xc1a948 496 0
0x0xc1ab38 496 0
0x0xc1ad28 128 0
0x0xc1ada8 496 0
0x0xc1af98 496 0
0x0xc1b188 16 0
0x0xc1b198 56 0
0x0xc1b1d0 16 0
0x0xc1b1e0 496 0
0x0xc1b3d0 16 0
0x0xc1b3e0 496 0
0x0xc1b5d0 496 0
0x0xc1b7c0 16 0
0x0xc1b7d0 496 0
0x0xc1b9c0 16 0
0x0xc1b9d0 496 0
0x0xc1bbc0 16 0
0x0xc1bbd0 488 0
0x0xc1bdb8 16 0
0x0xc1bdc8 24 0
0x0xc1bde0 16 0
0x0xc1bdf0 16 0
0x0xc1be00 16 0
0x0xc1be10 496 0
0x0xc1c000 16 0
0x0xc1c010 496 0
0x0xc1c200 16 0
0x0xc1c210 496 0
0x0xc1c400 16 0
0x0xc1c410 496 0
0x0xc1c600 24 0
0x0xc1c618 16 0
0x0xc1c628 16 0
0x0xc1c638 16 0
0x0xc1c648 16 0
0x0xc1c658 56 0
0x0xc1c690 16 0
0x0xc1c6a0 16 0
0x0xc1c6b0 16 0
0x0xc1c6c0 16 0
0x0xc1c6d0 16 0
0x0xc1c6e0 16 0
0x0xc1c6f0 16 0
0x0xc1c700 16 0
0x0xc1c710 16 0
0x0xc1c720 16 0
0x0xc1c730 16 0
0x0xc1c740 16 0
0x0xc1c750 16 0
0x0xc1c760 16 0
0x0xc1c770 488 0
0x0xc1c958 16 0
0x0xc1c968 496 0
0x0xc1cb58 16 0
0x0xc1cb68 496 0
0x0xc1cd58 16 0
0x0xc1cd68 496 0
0x0xc1cf58 16 0
0x0xc1cf68 496 0
0x0xc1d158 520 0
0x0xc1d360 16 0
0x0xc1d370 496 0
0x0xc1d560 16 0
0x0xc1d570 536 0
0x0xc1d788 16 0
0x0xc1d798 16 0
0x0xc1d7a8 536 0
0x0xc1d9c0 16 0
0x0xc1d9d0 496 0
0x0xc1dbc0 16 0
0x0xc1dbd0 536 0
0x0xc1dde8 16 0
0x0xc1ddf8 16 0
0x0xc1de08 536 0
0x0xc1e020 16 0
0x0xc1e030 488 0
0x0xc1e218 16 0
0x0xc1e228 496 0
0x0xc1e418 16 0
0x0xc1e428 536 0
0x0xc1e640 16 0
0x0xc1e650 16 0
0x0xc1e660 536 0
0x0xc1e878 16 0
0x0xc1e888 16 0
0x0xc1e898 536 0
0x0xc1eab0 16 0
0x0xc1eac0 16 0
0x0xc1ead0 16 0
0x0xc1eae0 536 0
0x0xc1ecf8 536 0
0x0xc1ef10 40 0
0x0xc1ef38 16 0
